2024-10-19T01:05:42.932Z	0
2024-10-19T02:28:27.698Z	0
2024-10-19T03:01:45.716Z	0
2024-10-19T03:32:38.276Z	0
2024-10-19T03:49:23.941Z	0
2024-10-19T04:16:39.964Z	16
2024-10-19T04:39:29.990Z	25
2024-10-19T04:49:01.674Z	30
2024-10-19T05:13:01.423Z	36
2024-10-19T05:30:53.641Z	31
2024-10-19T05:49:15.269Z	26
2024-10-19T06:18:18.020Z	49
2024-10-19T06:41:47.510Z	55
2024-10-19T06:50:50.302Z	58
2024-10-19T07:14:03.765Z	89
2024-10-19T07:28:42.261Z	93
2024-10-19T07:38:24.300Z	89
2024-10-19T07:49:16.068Z	100
2024-10-19T08:16:48.210Z	117
2024-10-19T08:39:45.787Z	125
2024-10-19T08:49:08.910Z	120
2024-10-19T09:13:19.635Z	133
2024-10-19T09:28:04.663Z	102
2024-10-19T09:37:52.996Z	98
2024-10-19T09:49:13.510Z	96
2024-10-19T10:13:20.859Z	107
2024-10-19T10:32:51.189Z	85
2024-10-19T10:49:22.872Z	76
2024-10-19T11:10:56.641Z	75
2024-10-19T11:22:58.358Z	88
